Question,Answer
"What are the admission requirements?","You need previous academic certificates, identification documents, and a completed application form."
"How do I apply for admission?","You can apply through the university online portal during the admission window."
"What documents are needed for admission?","You need academic transcripts, identity proof, passport-size photographs, and application fees."
"Is there an application fee for admission?","Yes, an application fee is required before your application is processed."
"Can I apply for more than one program?","You may apply for multiple programs if you meet the eligibility requirements."
"How can I check my admission status?","You can check your admission status through the student portal using your application number."
"When does the academic year start?","The academic year begins at the start of the semester, as stated in the academic calendar."
"How do I register for courses?","Students can register for courses through the student portal during the registration period."
"What is the registration deadline?","Registration deadlines are announced on the academic calendar and student portal."
"Can I change my course registration?","Yes, course registration changes may be allowed within the add-drop period."
"How many credits are required for graduation?","The required number of credits depends on your program and academic plan."
"When do examinations take place?","Examinations are scheduled according to the semester timetable released by the university."
"How do I access my exam timetable?","You can view the timetable on the student portal or the examination office notice board."
"What should I do if I miss an exam?","You should contact the examination office immediately and follow the documented absence procedure."
"How do I apply for graduation?","Graduation applications are submitted through the student portal before the deadline."
"When will I receive my degree certificate?","Degree certificates are issued after graduation clearance and convocation processing."
"What services does the library provide?","The library offers books, journals, study rooms, electronic databases, and research support."
"How can I borrow books from the library?","You can borrow books using your student ID card at the circulation desk."
"Can I access library resources online?","Yes, registered students can access many library resources online through the library portal."
"How do I report a lost library book?","Report a lost book to the librarian and follow the replacement fee procedure."
"What hostel services are available?","Hostels provide furnished rooms, Wi-Fi, laundry, security, and dining services."
"How do I apply for hostel accommodation?","Hostel applications are submitted through the student affairs office or student portal."
"Can I request a room change?","Room changes may be allowed based on availability and hostel policy."
"What are the campus facilities?","Campus facilities include laboratories, sports fields, cafeterias, gyms, and medical centers."
"How do I contact student services?","You can contact student services through the student affairs office or the university website."
"What financial aid options are available?","Financial aid includes scholarships, bursaries, work-study programs, and fee payment plans."
"How can I pay tuition fees?","Tuition fees can be paid through the online payment portal or designated banks."
"When is the tuition fee deadline?","Fee deadlines are listed in the academic calendar and student account portal."
"Can I get a tuition fee waiver?","Fee waivers may be available for eligible students through scholarship or hardship programs."
"How do I update my personal information?","You can update your personal information through the student portal under profile settings."
"What should I do if I forget my password?","Use the password reset option on the student portal or contact the IT support desk."
"How do I activate my student email account?","Student email accounts are activated after successful registration and portal verification."
"How can I access my academic transcript?","Academic transcripts can be requested through the registrar's office or student portal."
"What is the student portal used for?","The student portal is used for registration, fee payments, results, and announcements."
"How do I request a transcript?","Submit a transcript request through the registrar's office or online request form."
"How do I apply for a scholarship?","Scholarship applications are submitted through the scholarship office or university portal."
"What are the scholarship eligibility requirements?","Eligibility depends on academic merit, financial need, or program-specific criteria."
"How do I request a leave of absence?","Leave of absence requests must be submitted to the academic advisor or registrar."
"Can I defer my admission?","Admission deferral is possible in some cases with approval from the admissions office."
"What is the attendance policy?","Attendance requirements vary by course and are listed in the syllabus."
"How do I get a student ID card?","Student ID cards are issued after registration and identity verification."
"What if my student ID card is lost?","Report the loss immediately and apply for a replacement card through student services."
"How do I access Wi-Fi on campus?","Campus Wi-Fi is available to registered students using their university credentials."
"Where is the medical center located?","The medical center is located near the main campus administration building."
"How do I book a sports facility?","Sports facilities can be booked through the athletics office or student portal."
"Are there computer labs on campus?","Yes, the university provides computer labs for academic and research use."
"How can I get help with academic advising?","You can meet with an academic advisor through the advising office or portal."
"How do I withdraw from a course?","Course withdrawal requests are submitted through the registration office before the deadline."
"What is the deadline for course withdrawal?","Withdrawal deadlines are published in the academic calendar and course schedule."
"Can I repeat a failed course?","Yes, students may repeat failed courses according to academic regulations."
